year,tournament_id,match_id,match_date,stage,group_name,knockout_stage,home_team_iso_raw,home_team_name,away_team_iso_raw,away_team_name,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result_1x2,match_country_name,home_team_iso,away_team_iso,host_country_iso,neutral_venue,host_team_iso,time_weight
1938,WC-1938,M-1938-10,1938-06-12,quarter-finals,not applicable,1,BRA,Brazil,CSK,Czechoslovakia,1,1,1,0,0,0,D,France,BRA,CZE,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-11,1938-06-12,quarter-finals,not applicable,1,HUN,Hungary,CHE,Switzerland,2,0,0,0,0,0,H,France,HUN,CHE,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-12,1938-06-12,quarter-finals,not applicable,1,ITA,Italy,FRA,France,3,1,0,0,0,0,H,France,ITA,FRA,FRA,False,FRA,0.014995576820477703
1938,WC-1938,M-1938-13,1938-06-12,quarter-finals,not applicable,1,SWE,Sweden,CUB,Cuba,8,0,0,0,0,0,H,France,SWE,CUB,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-14,1938-06-14,quarter-finals,not applicable,1,BRA,Brazil,CSK,Czechoslovakia,2,1,0,0,0,0,H,France,BRA,CZE,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-15,1938-06-16,semi-finals,not applicable,1,HUN,Hungary,SWE,Sweden,5,1,0,0,0,0,H,France,HUN,SWE,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-16,1938-06-16,semi-finals,not applicable,1,ITA,Italy,BRA,Brazil,2,1,0,0,0,0,H,France,ITA,BRA,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-17,1938-06-19,third-place match,not applicable,1,BRA,Brazil,SWE,Sweden,4,2,0,0,0,0,H,France,BRA,SWE,FRA,True,,0.014995576820477703
1938,WC-1938,M-1938-18,1938-06-19,final,not applicable,1,ITA,Italy,HUN,Hungary,4,2,0,0,0,0,H,France,ITA,HUN,FRA,True,,0.014995576820477703
1950,WC-1950,M-1950-01,1950-06-24,group stage,Group 1,0,BRA,Brazil,MEX,Mexico,4,0,0,0,0,0,H,Brazil,BRA,MEX,BRA,False,BRA,0.02732372244729256
1950,WC-1950,M-1950-02,1950-06-25,group stage,Group 1,0,YUG,Yugoslavia,CHE,Switzerland,3,0,0,0,0,0,H,Brazil,YUG,CHE,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-03,1950-06-25,group stage,Group 2,0,ENG,England,CHL,Chile,2,0,0,0,0,0,H,Brazil,ENG,CHL,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-04,1950-06-25,group stage,Group 2,0,ESP,Spain,USA,United States,3,1,0,0,0,0,H,Brazil,ESP,USA,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-05,1950-06-25,group stage,Group 3,0,SWE,Sweden,ITA,Italy,3,2,0,0,0,0,H,Brazil,SWE,ITA,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-06,1950-06-28,group stage,Group 1,0,BRA,Brazil,CHE,Switzerland,2,2,0,0,0,0,D,Brazil,BRA,CHE,BRA,False,BRA,0.02732372244729256
1950,WC-1950,M-1950-07,1950-06-28,group stage,Group 1,0,YUG,Yugoslavia,MEX,Mexico,4,1,0,0,0,0,H,Brazil,YUG,MEX,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-08,1950-06-29,group stage,Group 2,0,ESP,Spain,CHL,Chile,2,0,0,0,0,0,H,Brazil,ESP,CHL,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-09,1950-06-29,group stage,Group 2,0,USA,United States,ENG,England,1,0,0,0,0,0,H,Brazil,USA,ENG,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-10,1950-06-29,group stage,Group 3,0,SWE,Sweden,PRY,Paraguay,2,2,0,0,0,0,D,Brazil,SWE,PRY,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-11,1950-07-01,group stage,Group 1,0,BRA,Brazil,YUG,Yugoslavia,2,0,0,0,0,0,H,Brazil,BRA,YUG,BRA,False,BRA,0.02732372244729256
1950,WC-1950,M-1950-12,1950-07-02,group stage,Group 2,0,CHL,Chile,USA,United States,5,2,0,0,0,0,H,Brazil,CHL,USA,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-13,1950-07-02,group stage,Group 2,0,ESP,Spain,ENG,England,1,0,0,0,0,0,H,Brazil,ESP,ENG,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-14,1950-07-02,group stage,Group 3,0,ITA,Italy,PRY,Paraguay,2,0,0,0,0,0,H,Brazil,ITA,PRY,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-15,1950-07-02,group stage,Group 4,0,URY,Uruguay,BOL,Bolivia,8,0,0,0,0,0,H,Brazil,URY,BOL,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-16,1950-07-02,group stage,Group 1,0,CHE,Switzerland,MEX,Mexico,2,1,0,0,0,0,H,Brazil,CHE,MEX,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-17,1950-07-09,final round,not applicable,0,BRA,Brazil,SWE,Sweden,7,1,0,0,0,0,H,Brazil,BRA,SWE,BRA,False,BRA,0.02732372244729256
1950,WC-1950,M-1950-18,1950-07-09,final round,not applicable,0,URY,Uruguay,ESP,Spain,2,2,0,0,0,0,D,Brazil,URY,ESP,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-19,1950-07-13,final round,not applicable,0,BRA,Brazil,ESP,Spain,6,1,0,0,0,0,H,Brazil,BRA,ESP,BRA,False,BRA,0.02732372244729256
1950,WC-1950,M-1950-20,1950-07-13,final round,not applicable,0,URY,Uruguay,SWE,Sweden,3,2,0,0,0,0,H,Brazil,URY,SWE,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-21,1950-07-16,final round,not applicable,0,SWE,Sweden,ESP,Spain,3,1,0,0,0,0,H,Brazil,SWE,ESP,BRA,True,,0.02732372244729256
1950,WC-1950,M-1950-22,1950-07-16,final round,not applicable,0,URY,Uruguay,BRA,Brazil,2,1,0,0,0,0,H,Brazil,URY,BRA,BRA,False,BRA,0.02732372244729256
1954,WC-1954,M-1954-01,1954-06-16,group stage,Group 1,0,BRA,Brazil,MEX,Mexico,5,0,0,0,0,0,H,Switzerland,BRA,MEX,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-02,1954-06-16,group stage,Group 1,0,YUG,Yugoslavia,FRA,France,1,0,0,0,0,0,H,Switzerland,YUG,FRA,CHE,True,,0.033373269960326066
1954,WC-1954,M-1954-03,1954-06-16,group stage,Group 3,0,AUT,Austria,SCO,Scotland,1,0,0,0,0,0,H,Switzerland,AUT,SCO,CHE,True,,0.033373269960326066
