player_name,position,club,iso_code,team_name,player_norm
Lee Dong-gyeong,3 MF,Ulsan HD,KOR,South Korea,lee dong-gyeong
Nikola Vasilj,1 GK,FC St. Pauli,BIH,Bosnia and Herzegovina,nikola vasilj
Nihad Mujakić,2 DF,Gaziantep,BIH,Bosnia and Herzegovina,nihad mujakic
Dennis Hadžikadunić,2 DF,Sampdoria,BIH,Bosnia and Herzegovina,dennis hadzikadunic
Tarik Muharemović,2 DF,Sassuolo,BIH,Bosnia and Herzegovina,tarik muharemovic
Sead Kolašinac,2 DF,Atalanta,BIH,Bosnia and Herzegovina,sead kolasinac
Benjamin Tahirović,3 MF,Brøndby,BIH,Bosnia and Herzegovina,benjamin tahirovic
Amar Dedić,2 DF,Benfica,BIH,Bosnia and Herzegovina,amar dedic
Armin Gigović,3 MF,Young Boys,BIH,Bosnia and Herzegovina,armin gigovic
Samed Baždar,4 FW,Jagiellonia Białystok,BIH,Bosnia and Herzegovina,samed bazdar
Ermedin Demirović,4 FW,VfB Stuttgart,BIH,Bosnia and Herzegovina,ermedin demirovic
Edin Džeko ( captain ),4 FW,Schalke 04,BIH,Bosnia and Herzegovina,edin dzeko
Mladen Jurkas,1 GK,Borac Banja Luka,BIH,Bosnia and Herzegovina,mladen jurkas
Ivan Bašić,3 MF,Astana,BIH,Bosnia and Herzegovina,ivan basic
Ivan Šunjić,3 MF,Pafos,BIH,Bosnia and Herzegovina,ivan sunjic
Amar Memić,3 MF,Viktoria Plzeň,BIH,Bosnia and Herzegovina,amar memic
Amir Hadžiahmetović,3 MF,Hull City,BIH,Bosnia and Herzegovina,amir hadziahmetovic
Dženis Burnić,3 MF,Karlsruher SC,BIH,Bosnia and Herzegovina,dzenis burnic
Nikola Katić,2 DF,Schalke 04,BIH,Bosnia and Herzegovina,nikola katic
Kerim Alajbegović,4 FW,Red Bull Salzburg,BIH,Bosnia and Herzegovina,kerim alajbegovic
Esmir Bajraktarević,4 FW,PSV Eindhoven,BIH,Bosnia and Herzegovina,esmir bajraktarevic
Stjepan Radeljić,2 DF,Rijeka,BIH,Bosnia and Herzegovina,stjepan radeljic
Martin Zlomislić,1 GK,Rijeka,BIH,Bosnia and Herzegovina,martin zlomislic
Haris Tabaković,4 FW,Borussia Mönchengladbach,BIH,Bosnia and Herzegovina,haris tabakovic
Nidal Čelik,2 DF,Lens,BIH,Bosnia and Herzegovina,nidal celik
Jovo Lukić,4 FW,Universitatea Cluj,BIH,Bosnia and Herzegovina,jovo lukic
Ermin Mahmić,3 MF,Slovan Liberec,BIH,Bosnia and Herzegovina,ermin mahmic
Dayne St. Clair,1 GK,Inter Miami CF,CAN,Canada,dayne st. clair
Alistair Johnston,2 DF,Celtic,CAN,Canada,alistair johnston
Alfie Jones,2 DF,Middlesbrough,CAN,Canada,alfie jones
Luc de Fougerolles,2 DF,Dender,CAN,Canada,luc de fougerolles
Joel Waterman,2 DF,Chicago Fire FC,CAN,Canada,joel waterman
Mathieu Choinière,3 MF,Los Angeles FC,CAN,Canada,mathieu choiniere
Stephen Eustáquio,3 MF,Los Angeles FC,CAN,Canada,stephen eustaquio
Ismaël Koné,3 MF,Sassuolo,CAN,Canada,ismael kone
Cyle Larin,4 FW,Southampton,CAN,Canada,cyle larin
Jonathan David,4 FW,Juventus,CAN,Canada,jonathan david
Liam Millar,3 MF,Hull City,CAN,Canada,liam millar
Tani Oluwaseyi,4 FW,Villarreal,CAN,Canada,tani oluwaseyi
Derek Cornelius,2 DF,Rangers,CAN,Canada,derek cornelius
Jacob Shaffelburg,3 MF,Los Angeles FC,CAN,Canada,jacob shaffelburg
Moïse Bombito,2 DF,Nice,CAN,Canada,moise bombito
Maxime Crépeau,1 GK,Orlando City SC,CAN,Canada,maxime crepeau
Tajon Buchanan,4 FW,Villarreal,CAN,Canada,tajon buchanan
Owen Goodman,1 GK,Barnsley,CAN,Canada,owen goodman
Alphonso Davies ( captain ),2 DF,Bayern Munich,CAN,Canada,alphonso davies
Ali Ahmed,4 FW,Norwich City,CAN,Canada,ali ahmed
Jonathan Osorio,3 MF,Toronto FC,CAN,Canada,jonathan osorio
Richie Laryea,2 DF,Toronto FC,CAN,Canada,richie laryea
Niko Sigur,2 DF,Hajduk Split,CAN,Canada,niko sigur
Promise David,4 FW,Union Saint-Gilloise,CAN,Canada,promise david
Nathan Saliba,3 MF,Anderlecht,CAN,Canada,nathan saliba
Mahmud Abunada,1 GK,Al-Rayyan,QAT,Qatar,mahmud abunada
Pedro Miguel,2 DF,Al-Sadd,QAT,Qatar,pedro miguel
Lucas Mendes,2 DF,Al-Wakrah,QAT,Qatar,lucas mendes
Issa Laye,2 DF,Al-Arabi,QAT,Qatar,issa laye
Jassem Gaber,2 DF,Al-Rayyan,QAT,Qatar,jassem gaber
Abdulaziz Hatem,3 MF,Al-Rayyan,QAT,Qatar,abdulaziz hatem
Ahmed Alaaeldin,4 FW,Al-Rayyan,QAT,Qatar,ahmed alaaeldin
Edmilson Junior,4 FW,Al-Duhail,QAT,Qatar,edmilson junior
Mohammed Muntari,4 FW,Al-Gharafa,QAT,Qatar,mohammed muntari
Hassan Al-Haydos ( captain ),4 FW,Al-Sadd,QAT,Qatar,hassan al-haydos
Akram Afif,4 FW,Al-Sadd,QAT,Qatar,akram afif
Karim Boudiaf,3 MF,Al-Duhail,QAT,Qatar,karim boudiaf
Ayoub Al-Oui,2 DF,Al-Gharafa,QAT,Qatar,ayoub al-oui
Homam Ahmed,2 DF,Cultural Leonesa,QAT,Qatar,homam ahmed
Yusuf Abdurisag,4 FW,Al-Wakrah,QAT,Qatar,yusuf abdurisag
Boualem Khoukhi,2 DF,Al-Sadd,QAT,Qatar,boualem khoukhi
Ahmed Al-Ganehi,3 MF,Al-Gharafa,QAT,Qatar,ahmed al-ganehi
Sultan Al-Brake,2 DF,Al-Duhail,QAT,Qatar,sultan al-brake
Almoez Ali,4 FW,Al-Duhail,QAT,Qatar,almoez ali
Ahmed Fathy,3 MF,Al-Arabi,QAT,Qatar,ahmed fathy
Salah Zakaria,1 GK,Al-Duhail,QAT,Qatar,salah zakaria
Meshaal Barsham,1 GK,Al-Sadd,QAT,Qatar,meshaal barsham
Assim Madibo,3 MF,Al-Wakrah,QAT,Qatar,assim madibo
Tahsin Jamshid,4 FW,Al-Duhail,QAT,Qatar,tahsin jamshid
Al-Hashmi Al-Hussain,2 DF,Al-Arabi,QAT,Qatar,al-hashmi al-hussain
Mohamed Manai,4 FW,Al-Shamal,QAT,Qatar,mohamed manai
Gregor Kobel,1 GK,Borussia Dortmund,CHE,Switzerland,gregor kobel
Miro Muheim,2 DF,Hamburger SV,CHE,Switzerland,miro muheim
Silvan Widmer,2 DF,Mainz 05,CHE,Switzerland,silvan widmer
Nico Elvedi,2 DF,Borussia Mönchengladbach,CHE,Switzerland,nico elvedi
Manuel Akanji,2 DF,Inter Milan,CHE,Switzerland,manuel akanji
Denis Zakaria,3 MF,Monaco,CHE,Switzerland,denis zakaria
Breel Embolo,4 FW,Rennes,CHE,Switzerland,breel embolo
Remo Freuler,3 MF,Bologna,CHE,Switzerland,remo freuler
Johan Manzambi,3 MF,SC Freiburg,CHE,Switzerland,johan manzambi
Granit Xhaka ( captain ),3 MF,Sunderland,CHE,Switzerland,granit xhaka
Dan Ndoye,4 FW,Nottingham Forest,CHE,Switzerland,dan ndoye
Yvon Mvogo,1 GK,Lorient,CHE,Switzerland,yvon mvogo
Ricardo Rodriguez,2 DF,Real Betis,CHE,Switzerland,ricardo rodriguez
Ardon Jashari,3 MF,Milan,CHE,Switzerland,ardon jashari
Djibril Sow,3 MF,Sevilla,CHE,Switzerland,djibril sow
Christian Fassnacht,4 FW,Young Boys,CHE,Switzerland,christian fassnacht
Rubén Vargas,4 FW,Sevilla,CHE,Switzerland,ruben vargas
Eray Cömert,2 DF,Valencia,CHE,Switzerland,eray comert
Noah Okafor,4 FW,Leeds United,CHE,Switzerland,noah okafor
Michel Aebischer,3 MF,Pisa,CHE,Switzerland,michel aebischer
Marvin Keller,1 GK,Young Boys,CHE,Switzerland,marvin keller
Fabian Rieder,3 MF,FC Augsburg,CHE,Switzerland,fabian rieder
Zeki Amdouni,4 FW,Burnley,CHE,Switzerland,zeki amdouni
Aurèle Amenda,2 DF,Eintracht Frankfurt,CHE,Switzerland,aurele amenda
Luca Jaquez,2 DF,VfB Stuttgart,CHE,Switzerland,luca jaquez
Cedric Itten,4 FW,Fortuna Düsseldorf,CHE,Switzerland,cedric itten
Alisson,1 GK,Liverpool,BRA,Brazil,alisson
Wesley,2 DF,Roma,BRA,Brazil,wesley
Gabriel Magalhães,2 DF,Arsenal,BRA,Brazil,gabriel magalhaes
Marquinhos ( captain ),2 DF,Paris Saint-Germain,BRA,Brazil,marquinhos
Casemiro,3 MF,Manchester United,BRA,Brazil,casemiro
Alex Sandro,2 DF,Flamengo,BRA,Brazil,alex sandro
Vinícius Júnior,4 FW,Real Madrid,BRA,Brazil,vinicius junior
Bruno Guimarães,3 MF,Newcastle United,BRA,Brazil,bruno guimaraes
Matheus Cunha,4 FW,Manchester United,BRA,Brazil,matheus cunha
Neymar,4 FW,Santos,BRA,Brazil,neymar
Raphinha,4 FW,Barcelona,BRA,Brazil,raphinha
Weverton,1 GK,Grêmio,BRA,Brazil,weverton
Danilo Luiz,2 DF,Flamengo,BRA,Brazil,danilo luiz
Bremer,2 DF,Juventus,BRA,Brazil,bremer
Léo Pereira,2 DF,Flamengo,BRA,Brazil,leo pereira
Douglas Santos,2 DF,Zenit Saint Petersburg,BRA,Brazil,douglas santos
Fabinho,3 MF,Al-Ittihad,BRA,Brazil,fabinho
Danilo Santos,3 MF,Botafogo,BRA,Brazil,danilo santos
Endrick,4 FW,Lyon,BRA,Brazil,endrick
Lucas Paquetá,3 MF,Flamengo,BRA,Brazil,lucas paqueta
Luiz Henrique,4 FW,Zenit Saint Petersburg,BRA,Brazil,luiz henrique
Gabriel Martinelli,4 FW,Arsenal,BRA,Brazil,gabriel martinelli
Ederson,1 GK,Fenerbahçe,BRA,Brazil,ederson
Roger Ibañez,2 DF,Al-Ahli,BRA,Brazil,roger ibanez
Igor Thiago,4 FW,Brentford,BRA,Brazil,igor thiago
Rayan,4 FW,Bournemouth,BRA,Brazil,rayan
Johny Placide ( captain ),1 GK,Bastia,HTI,Haiti,johny placide
Carlens Arcus,2 DF,Angers,HTI,Haiti,carlens arcus
Keeto Thermoncy,2 DF,Young Boys,HTI,Haiti,keeto thermoncy
Ricardo Adé,2 DF,LDU Quito,HTI,Haiti,ricardo ade
