player_name,position,club,iso_code,team_name,player_norm
Finn Surman,2 DF,Portland Timbers,NZL,New Zealand,finn surman
Kosta Barbarouses,4 FW,Western Sydney Wanderers,NZL,New Zealand,kosta barbarouses
Ben Waine,4 FW,Port Vale,NZL,New Zealand,ben waine
Ben Old,3 MF,Saint-Étienne,NZL,New Zealand,ben old
Callum McCowatt,3 MF,Silkeborg,NZL,New Zealand,callum mccowatt
Jesse Randall,4 FW,Auckland FC,NZL,New Zealand,jesse randall
Michael Woud,1 GK,Auckland FC,NZL,New Zealand,michael woud
Ryan Thomas,3 MF,PEC Zwolle,NZL,New Zealand,ryan thomas
Callan Elliot,2 DF,Auckland FC,NZL,New Zealand,callan elliot
Lachlan Bayliss,3 MF,Newcastle Jets,NZL,New Zealand,lachlan bayliss
Tommy Smith,2 DF,Braintree Town,NZL,New Zealand,tommy smith
Vozinha,1 GK,Chaves,CPV,Cape Verde,vozinha
Stopira,2 DF,Torreense,CPV,Cape Verde,stopira
Diney,2 DF,Al-Bataeh,CPV,Cape Verde,diney
Roberto Lopes,2 DF,Shamrock Rovers,CPV,Cape Verde,roberto lopes
Logan Costa,2 DF,Villarreal,CPV,Cape Verde,logan costa
Kevin Pina,3 MF,Krasnodar,CPV,Cape Verde,kevin pina
Jovane Cabral,3 MF,Estrela Amadora,CPV,Cape Verde,jovane cabral
João Paulo,3 MF,FCSB,CPV,Cape Verde,joao paulo
Gilson Benchimol,4 FW,Akron Tolyatti,CPV,Cape Verde,gilson benchimol
Jamiro Monteiro,3 MF,PEC Zwolle,CPV,Cape Verde,jamiro monteiro
Garry Rodrigues,3 MF,Apollon Limassol,CPV,Cape Verde,garry rodrigues
Márcio Rosa,1 GK,Montana,CPV,Cape Verde,marcio rosa
Sidny Lopes Cabral,2 DF,Benfica,CPV,Cape Verde,sidny lopes cabral
Deroy Duarte,3 MF,Ludogorets Razgrad,CPV,Cape Verde,deroy duarte
Laros Duarte,3 MF,Puskás Akadémia,CPV,Cape Verde,laros duarte
Yannick Semedo,3 MF,Farense,CPV,Cape Verde,yannick semedo
Willy Semedo,3 MF,Omonia,CPV,Cape Verde,willy semedo
Telmo Arcanjo,3 MF,Vitória de Guimarães,CPV,Cape Verde,telmo arcanjo
Dailon Livramento,4 FW,Casa Pia,CPV,Cape Verde,dailon livramento
Ryan Mendes ( captain ),4 FW,Iğdır,CPV,Cape Verde,ryan mendes
Nuno da Costa,3 MF,İstanbul Başakşehir,CPV,Cape Verde,nuno da costa
Steven Moreira,2 DF,Columbus Crew,CPV,Cape Verde,steven moreira
CJ dos Santos,1 GK,San Diego FC,CPV,Cape Verde,cj dos santos
Wagner Pina,2 DF,Trabzonspor,CPV,Cape Verde,wagner pina
Kelvin Pires,2 DF,SJK,CPV,Cape Verde,kelvin pires
Hélio Varela,3 MF,Maccabi Tel Aviv,CPV,Cape Verde,helio varela
Nawaf Al-Aqidi,1 GK,Al-Nassr,SAU,Saudi Arabia,nawaf al-aqidi
Ali Majrashi,2 DF,Al-Ahli,SAU,Saudi Arabia,ali majrashi
Ali Lajami,2 DF,Al-Hilal,SAU,Saudi Arabia,ali lajami
Abdulelah Al-Amri,2 DF,Al-Nassr,SAU,Saudi Arabia,abdulelah al-amri
Hassan Al-Tambakti,2 DF,Al-Hilal,SAU,Saudi Arabia,hassan al-tambakti
Nasser Al-Dawsari,3 MF,Al-Hilal,SAU,Saudi Arabia,nasser al-dawsari
Musab Al-Juwayr,3 MF,Al-Qadsiah,SAU,Saudi Arabia,musab al-juwayr
Ayman Yahya,4 FW,Al-Nassr,SAU,Saudi Arabia,ayman yahya
Firas Al-Buraikan,4 FW,Al-Ahli,SAU,Saudi Arabia,firas al-buraikan
Salem Al-Dawsari ( captain ),4 FW,Al-Hilal,SAU,Saudi Arabia,salem al-dawsari
Saleh Al-Shehri,4 FW,Al-Ittihad,SAU,Saudi Arabia,saleh al-shehri
Saud Abdulhamid,2 DF,Lens,SAU,Saudi Arabia,saud abdulhamid
Nawaf Boushal,2 DF,Al-Nassr,SAU,Saudi Arabia,nawaf boushal
Hassan Kadesh,2 DF,Al-Ittihad,SAU,Saudi Arabia,hassan kadesh
Abdullah Al-Khaibari,3 MF,Al-Nassr,SAU,Saudi Arabia,abdullah al-khaibari
Ziyad Al-Johani,3 MF,Al-Ahli,SAU,Saudi Arabia,ziyad al-johani
Khalid Al-Ghannam,4 FW,Al-Ettifaq,SAU,Saudi Arabia,khalid al-ghannam
Alaa Al-Hejji,3 MF,Neom,SAU,Saudi Arabia,alaa al-hejji
Abdullah Al-Hamdan,4 FW,Al-Nassr,SAU,Saudi Arabia,abdullah al-hamdan
Sultan Mandash,4 FW,Al-Hilal,SAU,Saudi Arabia,sultan mandash
Mohammed Al-Owais,1 GK,Al-Ula,SAU,Saudi Arabia,mohammed al-owais
Ahmed Al-Kassar,1 GK,Al-Qadsiah,SAU,Saudi Arabia,ahmed al-kassar
Mohamed Kanno,3 MF,Al-Hilal,SAU,Saudi Arabia,mohamed kanno
Moteb Al-Harbi,2 DF,Al-Hilal,SAU,Saudi Arabia,moteb al-harbi
Jehad Thakri,2 DF,Al-Qadsiah,SAU,Saudi Arabia,jehad thakri
Mohammed Abu Al-Shamat,2 DF,Al-Qadsiah,SAU,Saudi Arabia,mohammed abu al-shamat
David Raya,1 GK,Arsenal,ESP,Spain,david raya
Marc Pubill,2 DF,Atlético Madrid,ESP,Spain,marc pubill
Álex Grimaldo,2 DF,Bayer Leverkusen,ESP,Spain,alex grimaldo
Eric García,2 DF,Barcelona,ESP,Spain,eric garcia
Marcos Llorente,2 DF,Atlético Madrid,ESP,Spain,marcos llorente
Mikel Merino,3 MF,Arsenal,ESP,Spain,mikel merino
Ferran Torres,4 FW,Barcelona,ESP,Spain,ferran torres
Fabián Ruiz,3 MF,Paris Saint-Germain,ESP,Spain,fabian ruiz
Gavi,3 MF,Barcelona,ESP,Spain,gavi
Dani Olmo,4 FW,Barcelona,ESP,Spain,dani olmo
Yéremy Pino,4 FW,Crystal Palace,ESP,Spain,yeremy pino
Pedro Porro,2 DF,Tottenham Hotspur,ESP,Spain,pedro porro
Joan Garcia,1 GK,Barcelona,ESP,Spain,joan garcia
Aymeric Laporte,2 DF,Athletic Bilbao,ESP,Spain,aymeric laporte
Álex Baena,3 MF,Atlético Madrid,ESP,Spain,alex baena
Rodri ( captain ),3 MF,Manchester City,ESP,Spain,rodri
Nico Williams,4 FW,Athletic Bilbao,ESP,Spain,nico williams
Martín Zubimendi,3 MF,Arsenal,ESP,Spain,martin zubimendi
Lamine Yamal,4 FW,Barcelona,ESP,Spain,lamine yamal
Pedri,3 MF,Barcelona,ESP,Spain,pedri
Mikel Oyarzabal,4 FW,Real Sociedad,ESP,Spain,mikel oyarzabal
Pau Cubarsí,2 DF,Barcelona,ESP,Spain,pau cubarsi
Unai Simón,1 GK,Athletic Bilbao,ESP,Spain,unai simon
Marc Cucurella,2 DF,Chelsea,ESP,Spain,marc cucurella
Víctor Muñoz,4 FW,Osasuna,ESP,Spain,victor munoz
Borja Iglesias,4 FW,Celta Vigo,ESP,Spain,borja iglesias
Sergio Rochet,1 GK,Internacional,URY,Uruguay,sergio rochet
José María Giménez ( captain ),2 DF,Atlético Madrid,URY,Uruguay,jose maria gimenez
Sebastián Cáceres,2 DF,América,URY,Uruguay,sebastian caceres
Ronald Araújo,2 DF,Barcelona,URY,Uruguay,ronald araujo
Manuel Ugarte,3 MF,Manchester United,URY,Uruguay,manuel ugarte
Rodrigo Bentancur,3 MF,Tottenham Hotspur,URY,Uruguay,rodrigo bentancur
Nicolás de la Cruz,3 MF,Flamengo,URY,Uruguay,nicolas de la cruz
Federico Valverde,3 MF,Real Madrid,URY,Uruguay,federico valverde
Darwin Núñez,4 FW,Al-Hilal,URY,Uruguay,darwin nunez
Giorgian de Arrascaeta,3 MF,Flamengo,URY,Uruguay,giorgian de arrascaeta
Facundo Pellistri,4 FW,Panathinaikos,URY,Uruguay,facundo pellistri
Santiago Mele,1 GK,Monterrey,URY,Uruguay,santiago mele
Guillermo Varela,2 DF,Flamengo,URY,Uruguay,guillermo varela
Agustín Canobbio,3 MF,Fluminense,URY,Uruguay,agustin canobbio
Emiliano Martínez,3 MF,Palmeiras,URY,Uruguay,emiliano martinez
Mathías Olivera,2 DF,Napoli,URY,Uruguay,mathias olivera
Matías Viña,2 DF,River Plate,URY,Uruguay,matias vina
Brian Rodríguez,4 FW,América,URY,Uruguay,brian rodriguez
Rodrigo Aguirre,4 FW,UANL,URY,Uruguay,rodrigo aguirre
Maximiliano Araújo,3 MF,Sporting CP,URY,Uruguay,maximiliano araujo
Federico Viñas,4 FW,Oviedo,URY,Uruguay,federico vinas
Joaquín Piquerez,3 MF,Palmeiras,URY,Uruguay,joaquin piquerez
Fernando Muslera,1 GK,Estudiantes,URY,Uruguay,fernando muslera
Santiago Bueno,2 DF,Wolverhampton Wanderers,URY,Uruguay,santiago bueno
Juan Manuel Sanabria,3 MF,Real Salt Lake,URY,Uruguay,juan manuel sanabria
Rodrigo Zalazar,3 MF,Braga,URY,Uruguay,rodrigo zalazar
Brice Samba,1 GK,Rennes,FRA,France,brice samba
Malo Gusto,2 DF,Chelsea,FRA,France,malo gusto
Lucas Digne,2 DF,Aston Villa,FRA,France,lucas digne
Dayot Upamecano,2 DF,Bayern Munich,FRA,France,dayot upamecano
Jules Koundé,2 DF,Barcelona,FRA,France,jules kounde
Manu Koné,3 MF,Roma,FRA,France,manu kone
Ousmane Dembélé,4 FW,Paris Saint-Germain,FRA,France,ousmane dembele
Aurélien Tchouaméni,3 MF,Real Madrid,FRA,France,aurelien tchouameni
Marcus Thuram,4 FW,Inter Milan,FRA,France,marcus thuram
Kylian Mbappé ( captain ),4 FW,Real Madrid,FRA,France,kylian mbappe
Michael Olise,4 FW,Bayern Munich,FRA,France,michael olise
Bradley Barcola,4 FW,Paris Saint-Germain,FRA,France,bradley barcola
N'Golo Kanté,3 MF,Fenerbahçe,FRA,France,n'golo kante
Adrien Rabiot,3 MF,Milan,FRA,France,adrien rabiot
Ibrahima Konaté,2 DF,Liverpool,FRA,France,ibrahima konate
Mike Maignan,1 GK,Milan,FRA,France,mike maignan
William Saliba,2 DF,Arsenal,FRA,France,william saliba
Warren Zaïre-Emery,3 MF,Paris Saint-Germain,FRA,France,warren zaire-emery
Théo Hernandez,2 DF,Al-Hilal,FRA,France,theo hernandez
Désiré Doué,4 FW,Paris Saint-Germain,FRA,France,desire doue
Lucas Hernandez,2 DF,Paris Saint-Germain,FRA,France,lucas hernandez
Jean-Philippe Mateta,4 FW,Crystal Palace,FRA,France,jean-philippe mateta
Robin Risser,1 GK,Lens,FRA,France,robin risser
Rayan Cherki,3 MF,Manchester City,FRA,France,rayan cherki
Maghnes Akliouche,3 MF,Monaco,FRA,France,maghnes akliouche
Maxence Lacroix,2 DF,Crystal Palace,FRA,France,maxence lacroix
Fahad Talib,1 GK,Al-Talaba,IRQ,Iraq,fahad talib
Rebin Sulaka,2 DF,Port,IRQ,Iraq,rebin sulaka
Hussein Ali,2 DF,Pogoń Szczecin,IRQ,Iraq,hussein ali
Zaid Tahseen,2 DF,Pakhtakor,IRQ,Iraq,zaid tahseen
Akam Hashim,2 DF,Al-Zawraa,IRQ,Iraq,akam hashim
Manaf Younis,2 DF,Al-Shorta,IRQ,Iraq,manaf younis
Youssef Amyn,3 MF,AEK Larnaca,IRQ,Iraq,youssef amyn
Ibrahim Bayesh,3 MF,Al-Dhafra,IRQ,Iraq,ibrahim bayesh
Ali Al-Hamadi,4 FW,Luton Town,IRQ,Iraq,ali al-hamadi
Mohanad Ali,4 FW,Dibba,IRQ,Iraq,mohanad ali
Ahmed Qasem,4 FW,Nashville SC,IRQ,Iraq,ahmed qasem
Jalal Hassan ( captain ),1 GK,Al-Zawraa,IRQ,Iraq,jalal hassan
Ali Yousif,4 FW,Al-Talaba,IRQ,Iraq,ali yousif
Zidane Iqbal,3 MF,Utrecht,IRQ,Iraq,zidane iqbal
Ahmed Yahya,2 DF,Al-Shorta,IRQ,Iraq,ahmed yahya
Amir Al-Ammari,3 MF,Cracovia,IRQ,Iraq,amir al-ammari
Ali Jasim,4 FW,Al-Najma,IRQ,Iraq,ali jasim
Aymen Hussein,4 FW,Al-Karma,IRQ,Iraq,aymen hussein
Kevin Yakob,3 MF,AGF,IRQ,Iraq,kevin yakob
Aimar Sher,3 MF,Sarpsborg 08,IRQ,Iraq,aimar sher
Marko Farji,4 FW,Venezia,IRQ,Iraq,marko farji
Ahmed Basil,1 GK,Al-Shorta,IRQ,Iraq,ahmed basil
Merchas Doski,2 DF,Viktoria Plzeň,IRQ,Iraq,merchas doski
Zaid Ismail,3 MF,Al-Talaba,IRQ,Iraq,zaid ismail
Mustafa Saadoon,2 DF,Al-Shorta,IRQ,Iraq,mustafa saadoon
Frans Putros,2 DF,Persib,IRQ,Iraq,frans putros
Ørjan Nyland,1 GK,Sevilla,NOR,Norway,ørjan nyland
Morten Thorsby,3 MF,Cremonese,NOR,Norway,morten thorsby
Kristoffer Ajer,2 DF,Brentford,NOR,Norway,kristoffer ajer
Leo Østigård,2 DF,Genoa,NOR,Norway,leo østigard
David Møller Wolfe,2 DF,Wolverhampton Wanderers,NOR,Norway,david møller wolfe
Patrick Berg,3 MF,Bodø/Glimt,NOR,Norway,patrick berg
Alexander Sørloth,4 FW,Atlético Madrid,NOR,Norway,alexander sørloth
Sander Berge,3 MF,Fulham,NOR,Norway,sander berge
Erling Haaland,4 FW,Manchester City,NOR,Norway,erling haaland
Martin Ødegaard ( captain ),3 MF,Arsenal,NOR,Norway,martin ødegaard
Jørgen Strand Larsen,4 FW,Crystal Palace,NOR,Norway,jørgen strand larsen
Sander Tangvik,1 GK,Hamburger SV,NOR,Norway,sander tangvik
Egil Selvik,1 GK,Watford,NOR,Norway,egil selvik
Fredrik Aursnes,3 MF,Benfica,NOR,Norway,fredrik aursnes
Fredrik André Bjørkan,2 DF,Bodø/Glimt,NOR,Norway,fredrik andre bjørkan
Marcus Holmgren Pedersen,2 DF,Torino,NOR,Norway,marcus holmgren pedersen
Torbjørn Heggem,2 DF,Bologna,NOR,Norway,torbjørn heggem
Kristian Thorstvedt,3 MF,Sassuolo,NOR,Norway,kristian thorstvedt
Thelo Aasgaard,3 MF,Rangers,NOR,Norway,thelo aasgaard
Antonio Nusa,4 FW,RB Leipzig,NOR,Norway,antonio nusa
Andreas Schjelderup,3 MF,Benfica,NOR,Norway,andreas schjelderup
Oscar Bobb,3 MF,Fulham,NOR,Norway,oscar bobb
Jens Petter Hauge,3 MF,Bodø/Glimt,NOR,Norway,jens petter hauge
Sondre Langås,2 DF,Derby County,NOR,Norway,sondre langas
Henrik Falchener,2 DF,Viking,NOR,Norway,henrik falchener
Julian Ryerson,4 FW,Borussia Dortmund,NOR,Norway,julian ryerson
Yehvann Diouf,1 GK,Nice,SEN,Senegal,yehvann diouf
Mamadou Sarr,2 DF,Chelsea,SEN,Senegal,mamadou sarr
Kalidou Koulibaly ( captain ),2 DF,Al-Hilal,SEN,Senegal,kalidou koulibaly
Abdoulaye Seck,2 DF,Maccabi Haifa,SEN,Senegal,abdoulaye seck
Idrissa Gueye,3 MF,Everton,SEN,Senegal,idrissa gueye
Pathé Ciss,3 MF,Rayo Vallecano,SEN,Senegal,pathe ciss
Assane Diao,4 FW,Como,SEN,Senegal,assane diao
Lamine Camara,3 MF,Monaco,SEN,Senegal,lamine camara
Bamba Dieng,4 FW,Lorient,SEN,Senegal,bamba dieng
Sadio Mané,4 FW,Al-Nassr,SEN,Senegal,sadio mane
Nicolas Jackson,4 FW,Bayern Munich,SEN,Senegal,nicolas jackson
Cherif Ndiaye,4 FW,Samsunspor,SEN,Senegal,cherif ndiaye
Iliman Ndiaye,4 FW,Everton,SEN,Senegal,iliman ndiaye
Ismail Jakobs,2 DF,Galatasaray,SEN,Senegal,ismail jakobs
Krépin Diatta,2 DF,Monaco,SEN,Senegal,krepin diatta
Édouard Mendy,1 GK,Al-Ahli,SEN,Senegal,edouard mendy
Pape Matar Sarr,3 MF,Tottenham Hotspur,SEN,Senegal,pape matar sarr
Ismaïla Sarr,4 FW,Crystal Palace,SEN,Senegal,ismaila sarr
Moussa Niakhaté,2 DF,Lyon,SEN,Senegal,moussa niakhate
Ibrahim Mbaye,4 FW,Paris Saint-Germain,SEN,Senegal,ibrahim mbaye
Habib Diarra,3 MF,Sunderland,SEN,Senegal,habib diarra
Bara Sapoko Ndiaye,3 MF,Bayern Munich,SEN,Senegal,bara sapoko ndiaye
Mory Diaw,1 GK,Le Havre,SEN,Senegal,mory diaw
Antoine Mendy,2 DF,Nice,SEN,Senegal,antoine mendy
El Hadji Malick Diouf,2 DF,West Ham United,SEN,Senegal,el hadji malick diouf
Pape Gueye,3 MF,Villarreal,SEN,Senegal,pape gueye
Melvin Mastil,1 GK,Stade Nyonnais,DZA,Algeria,melvin mastil
Aïssa Mandi,2 DF,Lille,DZA,Algeria,aissa mandi
Achref Abada,2 DF,USM Alger,DZA,Algeria,achref abada
Mohamed Amine Tougai,2 DF,Espérance de Tunis,DZA,Algeria,mohamed amine tougai
Zineddine Belaïd,2 DF,JS Kabylie,DZA,Algeria,zineddine belaid
Ramiz Zerrouki,3 MF,Twente,DZA,Algeria,ramiz zerrouki
Riyad Mahrez ( captain ),4 FW,Al-Ahli,DZA,Algeria,riyad mahrez
Houssem Aouar,3 MF,Al-Ittihad,DZA,Algeria,houssem aouar
Amine Gouiri,4 FW,Marseille,DZA,Algeria,amine gouiri
Farès Chaïbi,3 MF,Eintracht Frankfurt,DZA,Algeria,fares chaibi
Anis Hadj Moussa,4 FW,Feyenoord,DZA,Algeria,anis hadj moussa
Nadhir Benbouali,4 FW,Győri ETO,DZA,Algeria,nadhir benbouali
Jaouen Hadjam,2 DF,Young Boys,DZA,Algeria,jaouen hadjam
Hicham Boudaoui,3 MF,Nice,DZA,Algeria,hicham boudaoui
Rayan Aït-Nouri,2 DF,Manchester City,DZA,Algeria,rayan ait-nouri
Oussama Benbot,1 GK,USM Alger,DZA,Algeria,oussama benbot
Rafik Belghali,2 DF,Hellas Verona,DZA,Algeria,rafik belghali
Mohamed Amoura,4 FW,VfL Wolfsburg,DZA,Algeria,mohamed amoura
Nabil Bentaleb,3 MF,Lille,DZA,Algeria,nabil bentaleb
Adil Boulbina,4 FW,Al-Duhail,DZA,Algeria,adil boulbina
Ramy Bensebaini,2 DF,Borussia Dortmund,DZA,Algeria,ramy bensebaini
Ibrahim Maza,3 MF,Bayer Leverkusen,DZA,Algeria,ibrahim maza
Luca Zidane,1 GK,Granada,DZA,Algeria,luca zidane
Yacine Titraoui,3 MF,Charleroi,DZA,Algeria,yacine titraoui
Farès Ghedjemis,4 FW,Frosinone,DZA,Algeria,fares ghedjemis
Samir Chergui,2 DF,Paris FC,DZA,Algeria,samir chergui
Juan Musso,1 GK,Atlético Madrid,ARG,Argentina,juan musso
Leonardo Balerdi,2 DF,Marseille,ARG,Argentina,leonardo balerdi
Nicolás Tagliafico,2 DF,Lyon,ARG,Argentina,nicolas tagliafico
Gonzalo Montiel,2 DF,River Plate,ARG,Argentina,gonzalo montiel
Leandro Paredes,3 MF,Boca Juniors,ARG,Argentina,leandro paredes
Lisandro Martínez,2 DF,Manchester United,ARG,Argentina,lisandro martinez
Rodrigo De Paul,3 MF,Inter Miami CF,ARG,Argentina,rodrigo de paul
Valentín Barco,3 MF,Strasbourg,ARG,Argentina,valentin barco
Julián Alvarez,4 FW,Atlético Madrid,ARG,Argentina,julian alvarez
Lionel Messi ( captain ),4 FW,Inter Miami CF,ARG,Argentina,lionel messi
Giovani Lo Celso,3 MF,Real Betis,ARG,Argentina,giovani lo celso
Gerónimo Rulli,1 GK,Marseille,ARG,Argentina,geronimo rulli
Cristian Romero,2 DF,Tottenham Hotspur,ARG,Argentina,cristian romero
Exequiel Palacios,3 MF,Bayer Leverkusen,ARG,Argentina,exequiel palacios
Nicolás González,3 MF,Atlético Madrid,ARG,Argentina,nicolas gonzalez
Thiago Almada,4 FW,Atlético Madrid,ARG,Argentina,thiago almada
Giuliano Simeone,4 FW,Atlético Madrid,ARG,Argentina,giuliano simeone
Nico Paz,4 FW,Como,ARG,Argentina,nico paz
Nicolás Otamendi,2 DF,Benfica,ARG,Argentina,nicolas otamendi
Alexis Mac Allister,3 MF,Liverpool,ARG,Argentina,alexis mac allister
José Manuel López,4 FW,Palmeiras,ARG,Argentina,jose manuel lopez
Lautaro Martínez,4 FW,Inter Milan,ARG,Argentina,lautaro martinez
Emiliano Martínez,1 GK,Aston Villa,ARG,Argentina,emiliano martinez
Enzo Fernández,3 MF,Chelsea,ARG,Argentina,enzo fernandez
Facundo Medina,2 DF,Marseille,ARG,Argentina,facundo medina
Nahuel Molina,2 DF,Atlético Madrid,ARG,Argentina,nahuel molina
Alexander Schlager,1 GK,Red Bull Salzburg,AUT,Austria,alexander schlager
David Affengruber,2 DF,Elche,AUT,Austria,david affengruber
Kevin Danso,2 DF,Tottenham Hotspur,AUT,Austria,kevin danso
Xaver Schlager,3 MF,RB Leipzig,AUT,Austria,xaver schlager
Stefan Posch,2 DF,Mainz 05,AUT,Austria,stefan posch
Nicolas Seiwald,3 MF,RB Leipzig,AUT,Austria,nicolas seiwald
Marko Arnautović,4 FW,Red Star Belgrade,AUT,Austria,marko arnautovic
David Alaba ( captain ),2 DF,Real Madrid,AUT,Austria,david alaba
Marcel Sabitzer,3 MF,Borussia Dortmund,AUT,Austria,marcel sabitzer
Florian Grillitsch,3 MF,Braga,AUT,Austria,florian grillitsch
Michael Gregoritsch,4 FW,FC Augsburg,AUT,Austria,michael gregoritsch
Florian Wiegele,1 GK,Viktoria Plzeň,AUT,Austria,florian wiegele
Patrick Pentz,1 GK,Brøndby,AUT,Austria,patrick pentz
Saša Kalajdžić,4 FW,LASK,AUT,Austria,sasa kalajdzic
Philipp Lienhart,2 DF,SC Freiburg,AUT,Austria,philipp lienhart
Phillipp Mwene,2 DF,Mainz 05,AUT,Austria,phillipp mwene
Carney Chukwuemeka,3 MF,Borussia Dortmund,AUT,Austria,carney chukwuemeka
Romano Schmid,3 MF,Werder Bremen,AUT,Austria,romano schmid
Konrad Laimer,3 MF,Bayern Munich,AUT,Austria,konrad laimer
Patrick Wimmer,4 FW,VfL Wolfsburg,AUT,Austria,patrick wimmer
Alexander Prass,3 MF,TSG Hoffenheim,AUT,Austria,alexander prass
Marco Friedl,2 DF,Werder Bremen,AUT,Austria,marco friedl
Paul Wanner,3 MF,PSV Eindhoven,AUT,Austria,paul wanner
Michael Svoboda,2 DF,Venezia,AUT,Austria,michael svoboda
Alessandro Schöpf,3 MF,Wolfsberger AC,AUT,Austria,alessandro schopf
Yazeed Abulaila,1 GK,Al-Hussein,JOR,Jordan,yazeed abulaila
Mohammad Abu Hashish,2 DF,Al-Karma,JOR,Jordan,mohammad abu hashish
Abdallah Nasib,2 DF,Al-Zawraa,JOR,Jordan,abdallah nasib
Husam Abu Dahab,2 DF,Al-Faisaly,JOR,Jordan,husam abu dahab
Yazan Al-Arab,2 DF,FC Seoul,JOR,Jordan,yazan al-arab
Amer Jamous,3 MF,Al-Zawraa,JOR,Jordan,amer jamous
Mohammad Abu Zrayq,4 FW,Raja Casablanca,JOR,Jordan,mohammad abu zrayq
Noor Al-Rawabdeh,3 MF,Selangor,JOR,Jordan,noor al-rawabdeh
Ali Olwan,4 FW,Al-Sailiya,JOR,Jordan,ali olwan
Musa Al-Taamari,4 FW,Rennes,JOR,Jordan,musa al-taamari
Odeh Al-Fakhouri,4 FW,Pyramids,JOR,Jordan,odeh al-fakhouri
Nour Bani Attiah,1 GK,Al-Faisaly,JOR,Jordan,nour bani attiah
Mahmoud Al-Mardi,4 FW,Al-Hussein,JOR,Jordan,mahmoud al-mardi
Rajaei Ayed,3 MF,Al-Hussein,JOR,Jordan,rajaei ayed
Ibrahim Sadeh,3 MF,Al-Karma,JOR,Jordan,ibrahim sadeh
Mo Abualnadi,2 DF,Selangor,JOR,Jordan,mo abualnadi
Salim Obaid,2 DF,Al-Hussein,JOR,Jordan,salim obaid
Ibrahim Sabra,4 FW,Lokomotiva Zagreb,JOR,Jordan,ibrahim sabra
Saed Al-Rosan,2 DF,Al-Hussein,JOR,Jordan,saed al-rosan
Mohannad Abu Taha,3 MF,Al-Quwa Al-Jawiya,JOR,Jordan,mohannad abu taha
Nizar Al-Rashdan,3 MF,Qatar SC,JOR,Jordan,nizar al-rashdan
Abdallah Al-Fakhouri,1 GK,Al-Wehdat,JOR,Jordan,abdallah al-fakhouri
Ihsan Haddad ( captain ),2 DF,Al-Hussein,JOR,Jordan,ihsan haddad
Ali Azaizeh,4 FW,Al-Shabab,JOR,Jordan,ali azaizeh
Mohammad Al-Dawoud,3 MF,Al-Wehdat,JOR,Jordan,mohammad al-dawoud
Anas Badawi,2 DF,Al-Faisaly,JOR,Jordan,anas badawi
David Ospina,1 GK,Atlético Nacional,COL,Colombia,david ospina
Daniel Muñoz,2 DF,Crystal Palace,COL,Colombia,daniel munoz
Jhon Lucumí,2 DF,Bologna,COL,Colombia,jhon lucumi
Santiago Arias,2 DF,Independiente,COL,Colombia,santiago arias
Kevin Castaño,3 MF,River Plate,COL,Colombia,kevin castano
Richard Ríos,3 MF,Benfica,COL,Colombia,richard rios
Luis Díaz,4 FW,Bayern Munich,COL,Colombia,luis diaz
Jorge Carrascal,3 MF,Flamengo,COL,Colombia,jorge carrascal
Jhon Córdoba,4 FW,Krasnodar,COL,Colombia,jhon cordoba
James Rodríguez ( captain ),3 MF,Minnesota United FC,COL,Colombia,james rodriguez
Jhon Arias,3 MF,Palmeiras,COL,Colombia,jhon arias
Camilo Vargas,1 GK,Atlas,COL,Colombia,camilo vargas
Yerry Mina,2 DF,Cagliari,COL,Colombia,yerry mina
Gustavo Puerta,2 DF,Racing Santander,COL,Colombia,gustavo puerta
Juan Portilla,3 MF,Athletico Paranaense,COL,Colombia,juan portilla
Jefferson Lerma,3 MF,Crystal Palace,COL,Colombia,jefferson lerma
Johan Mojica,2 DF,Mallorca,COL,Colombia,johan mojica
Willer Ditta,2 DF,Cruz Azul,COL,Colombia,willer ditta
Cucho Hernández,4 FW,Real Betis,COL,Colombia,cucho hernandez
Juan Fernando Quintero,3 MF,River Plate,COL,Colombia,juan fernando quintero
Jaminton Campaz,4 FW,Rosario Central,COL,Colombia,jaminton campaz
Deiver Machado,2 DF,Nantes,COL,Colombia,deiver machado
Davinson Sánchez,2 DF,Galatasaray,COL,Colombia,davinson sanchez
Álvaro Montero,1 GK,Vélez Sarsfield,COL,Colombia,alvaro montero
Luis Suárez,4 FW,Sporting CP,COL,Colombia,luis suarez
Andrés Gómez,4 FW,Vasco da Gama,COL,Colombia,andres gomez
Lionel Mpasi,1 GK,Le Havre,COD,DR Congo,lionel mpasi
Aaron Wan-Bissaka,2 DF,West Ham United,COD,DR Congo,aaron wan-bissaka
Steve Kapuadi,2 DF,Widzew Łódź,COD,DR Congo,steve kapuadi
Axel Tuanzebe,2 DF,Burnley,COD,DR Congo,axel tuanzebe
Dylan Batubinsika,2 DF,AEL,COD,DR Congo,dylan batubinsika
Ngal'ayel Mukau,3 MF,Lille,COD,DR Congo,ngal'ayel mukau
Nathanaël Mbuku,3 MF,Montpellier,COD,DR Congo,nathanael mbuku
Samuel Moutoussamy,3 MF,Atromitos,COD,DR Congo,samuel moutoussamy
Brian Cipenga,4 FW,Castellón,COD,DR Congo,brian cipenga
Théo Bongonda,3 MF,Spartak Moscow,COD,DR Congo,theo bongonda
Gaël Kakuta,4 FW,AEL,COD,DR Congo,gael kakuta
Joris Kayembe,2 DF,Genk,COD,DR Congo,joris kayembe
