year,tournament_id,match_id,match_date,stage,group_name,knockout_stage,home_team_code,home_team_name,away_team_code,away_team_name,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result_1x2
1986,WC-1986,M-1986-34,1986-06-12,group stage,Group D,0,NIR,Northern Ireland,BRA,Brazil,0,3,0,0,0,0,A
1986,WC-1986,M-1986-35,1986-06-13,group stage,Group E,0,DNK,Denmark,DEU,West Germany,2,0,0,0,0,0,H
1986,WC-1986,M-1986-36,1986-06-13,group stage,Group E,0,SCO,Scotland,URY,Uruguay,0,0,0,0,0,0,D
1986,WC-1986,M-1986-37,1986-06-15,round of 16,not applicable,1,MEX,Mexico,BGR,Bulgaria,2,0,0,0,0,0,H
1986,WC-1986,M-1986-38,1986-06-15,round of 16,not applicable,1,SUN,Soviet Union,BEL,Belgium,3,4,1,0,0,0,A
1986,WC-1986,M-1986-39,1986-06-16,round of 16,not applicable,1,BRA,Brazil,POL,Poland,4,0,0,0,0,0,H
1986,WC-1986,M-1986-40,1986-06-16,round of 16,not applicable,1,ARG,Argentina,URY,Uruguay,1,0,0,0,0,0,H
1986,WC-1986,M-1986-41,1986-06-17,round of 16,not applicable,1,ITA,Italy,FRA,France,0,2,0,0,0,0,A
1986,WC-1986,M-1986-42,1986-06-17,round of 16,not applicable,1,MAR,Morocco,DEU,West Germany,0,1,0,0,0,0,A
1986,WC-1986,M-1986-43,1986-06-18,round of 16,not applicable,1,ENG,England,PRY,Paraguay,3,0,0,0,0,0,H
1986,WC-1986,M-1986-44,1986-06-18,round of 16,not applicable,1,DNK,Denmark,ESP,Spain,1,5,0,0,0,0,A
1986,WC-1986,M-1986-45,1986-06-21,quarter-finals,not applicable,1,BRA,Brazil,FRA,France,1,1,1,1,3,4,D
1986,WC-1986,M-1986-46,1986-06-21,quarter-finals,not applicable,1,DEU,West Germany,MEX,Mexico,0,0,1,1,4,1,D
1986,WC-1986,M-1986-47,1986-06-22,quarter-finals,not applicable,1,ARG,Argentina,ENG,England,2,1,0,0,0,0,H
1986,WC-1986,M-1986-48,1986-06-22,quarter-finals,not applicable,1,ESP,Spain,BEL,Belgium,1,1,1,1,4,5,D
1986,WC-1986,M-1986-49,1986-06-25,semi-finals,not applicable,1,FRA,France,DEU,West Germany,0,2,0,0,0,0,A
1986,WC-1986,M-1986-50,1986-06-25,semi-finals,not applicable,1,ARG,Argentina,BEL,Belgium,2,0,0,0,0,0,H
1986,WC-1986,M-1986-51,1986-06-28,third-place match,not applicable,1,BEL,Belgium,FRA,France,2,4,1,0,0,0,A
1986,WC-1986,M-1986-52,1986-06-29,final,not applicable,1,ARG,Argentina,DEU,West Germany,3,2,0,0,0,0,H
1990,WC-1990,M-1990-01,1990-06-08,group stage,Group B,0,ARG,Argentina,CMR,Cameroon,0,1,0,0,0,0,A
1990,WC-1990,M-1990-02,1990-06-09,group stage,Group B,0,SUN,Soviet Union,ROU,Romania,0,2,0,0,0,0,A
1990,WC-1990,M-1990-03,1990-06-09,group stage,Group D,0,ARE,United Arab Emirates,COL,Colombia,0,2,0,0,0,0,A
1990,WC-1990,M-1990-04,1990-06-09,group stage,Group A,0,ITA,Italy,AUT,Austria,1,0,0,0,0,0,H
1990,WC-1990,M-1990-05,1990-06-10,group stage,Group A,0,USA,United States,CSK,Czechoslovakia,1,5,0,0,0,0,A
1990,WC-1990,M-1990-06,1990-06-10,group stage,Group C,0,BRA,Brazil,SWE,Sweden,2,1,0,0,0,0,H
1990,WC-1990,M-1990-07,1990-06-10,group stage,Group D,0,DEU,West Germany,YUG,Yugoslavia,4,1,0,0,0,0,H
1990,WC-1990,M-1990-08,1990-06-11,group stage,Group C,0,CRI,Costa Rica,SCO,Scotland,1,0,0,0,0,0,H
1990,WC-1990,M-1990-09,1990-06-11,group stage,Group F,0,ENG,England,IRL,Republic of Ireland,1,1,0,0,0,0,D
1990,WC-1990,M-1990-10,1990-06-12,group stage,Group E,0,BEL,Belgium,KOR,South Korea,2,0,0,0,0,0,H
1990,WC-1990,M-1990-11,1990-06-12,group stage,Group F,0,NLD,Netherlands,EGY,Egypt,1,1,0,0,0,0,D
1990,WC-1990,M-1990-12,1990-06-13,group stage,Group E,0,URY,Uruguay,ESP,Spain,0,0,0,0,0,0,D
1990,WC-1990,M-1990-13,1990-06-13,group stage,Group B,0,ARG,Argentina,SUN,Soviet Union,2,0,0,0,0,0,H
1990,WC-1990,M-1990-14,1990-06-14,group stage,Group B,0,CMR,Cameroon,ROU,Romania,2,1,0,0,0,0,H
1990,WC-1990,M-1990-15,1990-06-14,group stage,Group D,0,YUG,Yugoslavia,COL,Colombia,1,0,0,0,0,0,H
1990,WC-1990,M-1990-16,1990-06-14,group stage,Group A,0,ITA,Italy,USA,United States,1,0,0,0,0,0,H
1990,WC-1990,M-1990-17,1990-06-15,group stage,Group A,0,AUT,Austria,CSK,Czechoslovakia,0,1,0,0,0,0,A
1990,WC-1990,M-1990-18,1990-06-15,group stage,Group D,0,DEU,West Germany,ARE,United Arab Emirates,5,1,0,0,0,0,H
1990,WC-1990,M-1990-19,1990-06-16,group stage,Group C,0,BRA,Brazil,CRI,Costa Rica,1,0,0,0,0,0,H
1990,WC-1990,M-1990-20,1990-06-16,group stage,Group C,0,SWE,Sweden,SCO,Scotland,1,2,0,0,0,0,A
1990,WC-1990,M-1990-21,1990-06-16,group stage,Group F,0,ENG,England,NLD,Netherlands,0,0,0,0,0,0,D
1990,WC-1990,M-1990-22,1990-06-17,group stage,Group F,0,IRL,Republic of Ireland,EGY,Egypt,0,0,0,0,0,0,D
1990,WC-1990,M-1990-23,1990-06-17,group stage,Group E,0,BEL,Belgium,URY,Uruguay,3,1,0,0,0,0,H
1990,WC-1990,M-1990-24,1990-06-17,group stage,Group E,0,KOR,South Korea,ESP,Spain,1,3,0,0,0,0,A
1990,WC-1990,M-1990-25,1990-06-18,group stage,Group B,0,ARG,Argentina,ROU,Romania,1,1,0,0,0,0,D
1990,WC-1990,M-1990-26,1990-06-18,group stage,Group B,0,CMR,Cameroon,SUN,Soviet Union,0,4,0,0,0,0,A
1990,WC-1990,M-1990-27,1990-06-19,group stage,Group D,0,DEU,West Germany,COL,Colombia,1,1,0,0,0,0,D
1990,WC-1990,M-1990-28,1990-06-19,group stage,Group D,0,YUG,Yugoslavia,ARE,United Arab Emirates,4,1,0,0,0,0,H
1990,WC-1990,M-1990-29,1990-06-19,group stage,Group A,0,AUT,Austria,USA,United States,2,1,0,0,0,0,H
1990,WC-1990,M-1990-30,1990-06-19,group stage,Group A,0,ITA,Italy,CSK,Czechoslovakia,2,0,0,0,0,0,H
1990,WC-1990,M-1990-31,1990-06-20,group stage,Group C,0,BRA,Brazil,SCO,Scotland,1,0,0,0,0,0,H
1990,WC-1990,M-1990-32,1990-06-20,group stage,Group C,0,SWE,Sweden,CRI,Costa Rica,1,2,0,0,0,0,A
1990,WC-1990,M-1990-33,1990-06-21,group stage,Group E,0,BEL,Belgium,ESP,Spain,1,2,0,0,0,0,A
1990,WC-1990,M-1990-34,1990-06-21,group stage,Group E,0,KOR,South Korea,URY,Uruguay,0,1,0,0,0,0,A
1990,WC-1990,M-1990-35,1990-06-21,group stage,Group F,0,ENG,England,EGY,Egypt,1,0,0,0,0,0,H
1990,WC-1990,M-1990-36,1990-06-21,group stage,Group F,0,IRL,Republic of Ireland,NLD,Netherlands,1,1,0,0,0,0,D
1990,WC-1990,M-1990-37,1990-06-23,round of 16,not applicable,1,CMR,Cameroon,COL,Colombia,2,1,1,0,0,0,H
1990,WC-1990,M-1990-38,1990-06-23,round of 16,not applicable,1,CSK,Czechoslovakia,CRI,Costa Rica,4,1,0,0,0,0,H
1990,WC-1990,M-1990-39,1990-06-24,round of 16,not applicable,1,BRA,Brazil,ARG,Argentina,0,1,0,0,0,0,A
1990,WC-1990,M-1990-40,1990-06-24,round of 16,not applicable,1,DEU,West Germany,NLD,Netherlands,2,1,0,0,0,0,H
1990,WC-1990,M-1990-41,1990-06-25,round of 16,not applicable,1,IRL,Republic of Ireland,ROU,Romania,0,0,1,1,5,4,D
1990,WC-1990,M-1990-42,1990-06-25,round of 16,not applicable,1,ITA,Italy,URY,Uruguay,2,0,0,0,0,0,H
