iso_code,openfootball_name,country_full,wc_appearances,wc_matches,wc_wins,wc_draws,wc_losses,wc_win_rate,wc_points_per_match,wc_goals_for,wc_goals_against,wc_goal_diff_per_match,wc_knockout_matches,wc_best_stage_reached,wc_years_since_last_appearance,wc_finals_played,goal_diff_stdev_wc,upset_opportunities,upset_count,upset_rate,recent_form_delta,is_debutant_2026,is_self_host_usa,distance_km_usa,diaspora_estimate_usa,log_diaspora_usa,shared_language_usa,shares_border_usa,is_self_host_can,distance_km_can,diaspora_estimate_can,log_diaspora_can,shared_language_can,shares_border_can,is_self_host_mex,distance_km_mex,diaspora_estimate_mex,log_diaspora_mex,shared_language_mex,shares_border_mex
PRY,Paraguay,Paraguay,8,27,7,10,10,0.2592592592592592,1.148148148148148,30,38,-0.2962962962962963,5,quarter-finals,16.0,0,1.5351393908194595,17.0,7.0,0.4117647058823529,-0.6907894736842106,0,0,7530.2,30000,10.308985993422082,0,0,0,7980.0,5000,8.517393171418904,0,0,0,6699.8,2000,7.601402334583733,1,0
PRT,Portugal,Portugal,8,35,17,6,12,0.4857142857142857,1.6285714285714286,61,41,0.5714285714285714,11,semi-finals,4.0,0,2.0603150145508513,18.0,11.0,0.6111111111111112,0.3461538461538462,0,0,5422.0,1400000,14.151983508870948,0,0,0,5725.7,480000,13.081543466215235,0,0,0,8671.4,5000,8.517393171418904,0,0
QAT,Qatar,Qatar,1,3,0,0,3,0.0,0.0,1,7,-2.0,0,group stage,4.0,0,0.0,3.0,0.0,0.0,0.141025641025641,0,0,10772.3,50000,10.819798284210286,0,0,0,10861.4,5000,8.517393171418904,0,0,0,14117.1,200,5.303304908059076,0,0
SAU,Saudi Arabia,Saudi Arabia,6,19,4,2,13,0.2105263157894736,0.7368421052631579,14,44,-1.5789473684210529,1,round of 16,4.0,0,2.3013906430605733,13.0,3.0,0.2307692307692307,0.141025641025641,0,0,10509.1,100000,11.51293546492023,0,0,0,10634.7,10000,9.210440366976515,0,0,0,13867.7,500,6.2166061010848646,0,0
SCO,Scotland,Scotland,8,23,4,7,12,0.1739130434782608,0.8260869565217391,25,41,-0.6956521739130435,0,group stage,28.0,0,1.898163474168963,16.0,7.0,0.4375,-0.5686274509803922,0,0,5244.5,6000000,15.607270193858982,1,0,0,5341.7,4700000,15.363073279446224,1,0,0,8587.9,3000,8.006700845440367,0,0
SEN,Senegal,Senegal,3,12,5,3,4,0.4166666666666667,1.5,16,17,-0.0833333333333333,3,quarter-finals,4.0,0,1.3819269959814169,11.0,7.0,0.6363636363636364,-0.1142857142857141,0,0,6144.0,50000,10.819798284210286,0,0,0,6636.3,8000,8.987321812850125,1,0,0,8615.7,500,6.2166061010848646,0,0
ZAF,South Africa,South Africa,3,9,2,4,3,0.2222222222222222,1.1111111111111112,11,16,-0.5555555555555556,0,group stage,16.0,0,1.4229164972072998,8.0,5.0,0.625,0.3333333333333332,0,0,12822.1,130000,11.775297421715829,1,0,0,13318.4,50000,10.819798284210286,1,0,0,14595.7,1500,7.313886831633462,0,0
KOR,South Korea,South Korea,11,38,7,10,21,0.1842105263157894,0.8157894736842105,39,78,-1.0263157894736843,6,semi-finals,4.0,0,2.1943329175192603,29.0,11.0,0.3793103448275862,0.1428571428571428,0,0,11052.6,1900000,14.45736497045232,0,0,0,10601.0,220000,12.301387370778713,0,0,0,12051.6,12000,9.39274525863144,0,0
ESP,Spain,Spain,16,67,31,17,19,0.4626865671641791,1.6417910447761197,108,75,0.4925373134328358,17,final,4.0,1,1.871810794816822,19.0,11.0,0.5789473684210527,0.4406779661016948,0,0,5768.0,900000,13.71015115341694,0,0,0,6035.9,80000,11.289794413577894,0,0,0,9062.7,350000,12.765691290604371,1,0
SWE,Sweden,Sweden,12,51,19,13,19,0.3725490196078431,1.3725490196078431,80,73,0.1372549019607843,16,final,8.0,1,2.09593077122554,24.0,12.0,0.5,-0.6904761904761905,0,0,6320.0,4000000,15.201805169084134,0,0,0,6328.8,350000,12.765691290604371,0,0,0,9585.1,2500,7.824445930877619,0,0
CHE,Switzerland,Switzerland,12,41,14,8,19,0.3414634146341463,1.2195121951219512,55,73,-0.4390243902439024,11,quarter-finals,4.0,0,1.9512195121951217,18.0,8.0,0.4444444444444444,-0.1136363636363635,0,0,6270.3,1000000,13.815511557963774,0,0,0,6435.7,150000,11.918397239722838,1,0,0,9628.9,7500,8.922791623969637,0,0
TUN,Tunisia,Tunisia,6,18,3,5,10,0.1666666666666666,0.7777777777777778,14,26,-0.6666666666666666,0,group stage,4.0,0,1.247219128924647,13.0,7.0,0.5384615384615384,0.3333333333333333,0,0,7017.8,50000,10.819798284210286,0,0,0,7260.3,30000,10.308985993422082,0,0,0,10328.9,500,6.2166061010848646,0,0
TUR,Turkey,Turkey,2,10,5,1,4,0.5,1.6,20,17,0.3,4,semi-finals,24.0,0,3.1,5.0,1.0,0.2,0.141025641025641,0,0,8397.3,500000,13.122365377402328,0,0,0,8508.8,60000,11.002116507732016,0,0,0,11750.9,2000,7.601402334583733,0,0
USA,USA,United States,11,37,9,8,20,0.2432432432432432,0.945945945945946,40,66,-0.7027027027027027,8,semi-finals,4.0,0,1.88686591088725,20.0,7.0,0.35,-0.1034482758620689,0,1,0.0,0,0.0,1,0,0,562.9,0,0.0,1,1,0,3031.8,800000,13.592368256649284,0,1
URY,Uruguay,Uruguay,14,59,25,13,21,0.423728813559322,1.4915254237288136,89,76,0.2203389830508474,18,final,4.0,1,2.2704273965614035,15.0,7.0,0.4666666666666667,-0.4436274509803921,0,0,8603.8,50000,10.819798284210286,0,0,0,9045.8,5000,8.517393171418904,0,0,0,7554.6,4000,8.294299608857235,1,0
UZB,Uzbekistan,Uzbekistan,0,0,0,0,0,0.0,0.0,0,0,0.0,0,never,100.0,0,1.6519418860877666,,,0.4422222222222222,0.141025641025641,1,0,10171.7,50000,10.819798284210286,0,0,0,10061.6,10000,9.210440366976515,0,0,0,13156.3,100,4.61512051684126,0,0
