iso_code,openfootball_name,country_full,wc_appearances,wc_matches,wc_wins,wc_draws,wc_losses,wc_win_rate,wc_points_per_match,wc_goals_for,wc_goals_against,wc_goal_diff_per_match,wc_knockout_matches,wc_best_stage_reached,wc_years_since_last_appearance,wc_finals_played,goal_diff_stdev_wc,upset_opportunities,upset_count,upset_rate,recent_form_delta,is_debutant_2026,is_self_host_usa,distance_km_usa,diaspora_estimate_usa,log_diaspora_usa,shared_language_usa,shares_border_usa,is_self_host_can,distance_km_can,diaspora_estimate_can,log_diaspora_can,shared_language_can,shares_border_can,is_self_host_mex,distance_km_mex,diaspora_estimate_mex,log_diaspora_mex,shared_language_mex,shares_border_mex,elo_rank,elo_peak,squad_value_m_eur,squad_avg_value_m_eur,log_squad_value,squad_value_rank,squad_avg_age,sb_total_matches,sb_tournaments,sb_xg_per90,sb_xga_per90,sb_xg_diff_per90,sb_shots_per90,sb_shots_on_target_per90,sb_possession_pct,sq_npxg_per90,sq_xa_per90,sq_npxgxa_per90,sq_xg_chain_per90,sq_avg_minutes,sq_big5_coverage_pct,sq_players_in_big5,fb_npgls_per90,fb_gls_per90,fb_ast_per90,fb_intl_mins_avg,fb_intl_coverage_pct,fb_squad_matched,elo_rating
HRV,Croatia,Croatia,6,30,13,8,9,0.4333333333333333,1.5666666666666669,43,33,0.3333333333333333,12,final,4.0,1,1.6397831834998458,16.0,8.0,0.5,0.2589285714285714,0,0,6905.8,400000,12.899222326086994,0,0,0,7049.1,130000,11.775297421715829,0,0,0,10265.0,5000,8.517393171418904,0,0,10,2015,385.7,14.83,5.957649198613251,16,26.0,21.0,"Euro2020, Euro2024, WC2018, WC2022",2.065,1.942,0.123,14.048,5.0,54.797,0.164,0.117,0.281,0.548,1796.9,57.7,15,,,,,,,1922.6
CUW,Curaçao,Curacao,0,0,0,0,0,0.0,0.0,0,0,0.0,0,never,100.0,0,1.6519418860877666,,,0.4422222222222222,0.141025641025641,1,0,3218.3,10000,9.210440366976515,0,0,0,3647.8,5000,8.517393171418904,0,0,0,3332.1,200,5.303304908059076,0,0,90,1618,26.03,1.0,3.2969473602883563,45,26.0,,,,,,,,,,,,,,0.0,0,0.192,0.201,0.166,429.4,92.3,24.0,1614.6
CZE,Czech Republic,Czechia,9,33,12,5,16,0.3636363636363636,1.2424242424242424,47,49,-0.0606060606060606,12,final,20.0,2,2.1311455724263326,16.0,8.0,0.5,0.2649999999999999,0,0,6572.5,1700000,14.346139397261563,0,0,0,6683.2,100000,11.51293546492023,0,0,0,9923.9,1500,7.313886831633462,0,0,40,2032,196.23,6.77,5.284370560415412,27,29.0,8.0,"Euro2020, Euro2024",1.268,1.206,0.062,12.5,4.625,44.939,0.24,0.056,0.296,0.42,1364.8,30.8,8,,,,,,,1715.7
COD,DR Congo,DR Congo,1,3,0,0,3,0.0,0.0,0,14,-4.666666666666667,0,group stage,52.0,0,3.0912061651652345,2.0,0.0,0.0,0.141025641025641,0,0,10268.3,100000,11.51293546492023,0,0,0,10722.2,25000,10.12667110305036,1,0,0,12728.1,500,6.2166061010848646,0,0,54,1782,147.05,5.66,4.997550054547601,30,26.0,7.0,AFCON2023,3.418,2.481,0.936,15.429,5.0,45.86,0.211,0.076,0.287,0.458,1953.5,23.1,6,,,,,,,1764.9
ECU,Ecuador,Ecuador,4,13,5,2,6,0.3846153846153846,1.3076923076923077,14,14,0.0,1,round of 16,4.0,0,1.6641005886756874,10.0,5.0,0.5,0.1666666666666667,0,0,4569.5,700000,13.45883704259595,0,0,0,4875.0,20000,9.90353755128617,0,0,0,3135.7,5000,8.517393171418904,1,0,9,1934,257.05,7.56,5.553153364594737,23,34.0,7.0,"CopaAmerica2024, WC2022",1.676,1.478,0.198,12.0,3.857,46.944,0.084,0.112,0.196,0.445,2416.0,11.5,3,,,,,,,1980.5
EGY,Egypt,Egypt,3,7,0,2,5,0.0,0.2857142857142857,5,12,-1.0,1,round of 16,8.0,0,0.7559289460184544,5.0,1.0,0.2,-1.5,0,0,9022.0,400000,12.899222326086994,0,0,0,9208.7,73000,11.19822841866684,0,0,0,12368.6,1500,7.313886831633462,0,0,46,1872,135.43,5.02,4.915811662574783,33,27.0,7.0,"AFCON2023, WC2018",2.329,2.237,0.093,15.857,4.857,50.327,0.469,0.351,0.82,1.073,1906.7,11.5,3,,,,,,,1808.7
ENG,England,England,16,74,32,22,20,0.4324324324324324,1.5945945945945943,104,68,0.4864864864864865,24,final,4.0,1,1.499939127082336,26.0,13.0,0.5,0.8091397849462367,0,0,5570.2,25000000,17.034386422832473,1,0,0,5712.5,5300000,15.483217567201578,1,0,0,8928.7,12000,9.39274525863144,0,0,4,2213,1310.0,50.38,7.1785454837637,2,26.0,26.0,"Euro2020, Euro2024, WC2018, WC2022",1.808,1.327,0.481,12.115,4.423,55.83,0.215,0.148,0.363,0.496,2194.6,80.8,21,,,,,,,2016.4
FRA,France,France,16,73,39,14,20,0.5342465753424658,1.7945205479452055,136,85,0.6986301369863014,30,final,4.0,4,1.685432601732319,24.0,14.0,0.5833333333333334,0.3462469733656172,0,0,5837.2,8000000,15.894952224644102,0,0,0,6000.8,4700000,15.363073279446224,1,0,0,9196.3,35000,10.463131911491969,0,0,3,2135,1480.0,56.77,7.300472814267799,1,26.0,24.0,"Euro2020, Euro2024, WC2018, WC2022",1.92,1.484,0.436,14.667,4.917,51.094,0.206,0.166,0.372,0.684,2403.3,76.9,20,,,,,,,2075.4
DEU,Germany,Germany,20,118,70,23,25,0.5932203389830508,1.9745762711864407,237,135,0.864406779661017,50,final,4.0,8,1.9868860494536065,5.0,2.0,0.4,-0.711309523809524,0,0,6385.0,41000000,17.529082649058825,0,0,0,6475.9,3300000,15.009433329466964,0,0,0,9726.7,25000,10.12667110305036,0,0,11,2223,998.0,38.38,6.906754778648554,4,26.0,15.0,"Euro2020, Euro2024, WC2018, WC2022",1.96,0.998,0.962,19.067,6.333,64.102,0.18,0.169,0.349,0.655,2055.2,96.2,25,,,,,,,1925.9
GHA,Ghana,Ghana,4,15,5,3,7,0.3333333333333333,1.2,18,23,-0.3333333333333333,3,quarter-finals,4.0,0,1.349897115421106,13.0,6.0,0.4615384615384615,0.5,0,0,8239.8,200000,12.206077645517674,1,0,0,8709.2,30000,10.308985993422082,1,0,0,10732.0,500,6.2166061010848646,0,0,82,1877,234.75,8.38,5.462771921513567,24,28.0,6.0,"AFCON2023, WC2022",1.177,1.76,-0.584,8.333,3.0,43.29,0.159,0.12,0.279,0.443,1679.2,50.0,13,,,,,,,1612.1
HTI,Haiti,Haiti,1,3,0,0,3,0.0,0.0,2,14,-4.0,0,group stage,52.0,0,2.160246899469287,3.0,0.0,0.0,0.141025641025641,0,0,2464.8,1100000,13.910821646859096,0,0,0,2864.0,165000,12.013706813470414,1,0,0,2818.9,5000,8.517393171418904,0,0,77,1673,55.88,2.15,4.040943785494986,39,26.0,,,,,,,,,0.082,0.132,0.214,0.363,1585.8,15.4,4,0.178,0.178,0.1,449.0,69.2,18.0,1703.8
IRN,Iran,Iran,6,18,3,4,11,0.1666666666666666,0.7222222222222222,13,31,-1.0,0,group stage,4.0,0,1.5275252316519468,15.0,5.0,0.3333333333333333,0.4166666666666666,0,0,9855.0,1000000,13.815511557963774,0,0,0,9886.9,210000,12.25486757159303,0,0,0,13144.2,2000,7.601402334583733,0,0,31,1853,35.5,1.18,3.597312260588446,41,30.0,6.0,"WC2018, WC2022",1.088,1.425,-0.337,9.333,2.166,31.61,0.295,0.211,0.506,0.736,781.0,3.8,1,,,,,,,1885.8
IRQ,Iraq,Iraq,1,3,0,0,3,0.0,0.0,1,4,-1.0,0,group stage,40.0,0,0.0,3.0,0.0,0.0,0.141025641025641,0,0,9642.6,500000,13.122365377402328,0,0,0,9732.0,70000,11.156264806643742,0,0,0,12986.6,1500,7.313886831633462,0,0,63,1740,23.9,,3.214867803470662,46,33.0,,,,,,,,,0.489,0.072,0.561,0.634,98.0,3.8,1,0.087,0.087,0.068,723.6,76.9,20.0,1749.3
CIV,Ivory Coast,Cote d'Ivoire,3,9,3,1,5,0.3333333333333333,1.1111111111111112,13,14,-0.1111111111111111,0,group stage,12.0,0,1.4487116456005886,6.0,2.0,0.3333333333333333,-0.3333333333333335,0,0,7724.5,100000,11.51293546492023,0,0,0,8206.5,7000,8.853808274977197,1,0,0,10155.5,500,6.2166061010848646,0,0,52,1863,525.9,20.23,6.26701077721524,12,26.0,7.0,AFCON2023,1.646,1.548,0.098,14.571,4.286,59.19,0.138,0.106,0.244,0.408,1620.6,61.5,16,,,,,,,1789.9
JPN,Japan,Japan,7,25,7,6,12,0.28,1.08,25,33,-0.32,4,round of 16,4.0,0,1.2874781551544865,17.0,10.0,0.5882352941176471,0.5514705882352942,0,0,10851.7,1500000,14.220976332738882,0,0,0,10351.5,110000,11.60824473564232,0,0,0,11309.9,12000,9.39274525863144,0,0,13,1913,279.05,10.34,5.634968158655841,21,27.0,8.0,"WC2018, WC2022",1.534,1.807,-0.273,11.5,4.25,43.845,0.122,0.114,0.236,0.414,2128.8,42.3,11,0.268,0.276,0.222,511.0,88.5,23.0,1976.1
JOR,Jordan,Jordan,0,0,0,0,0,0.0,0.0,0,0,0.0,0,never,100.0,0,1.6519418860877666,,,0.4422222222222222,0.141025641025641,1,0,9203.8,100000,11.51293546492023,0,0,0,9351.8,15000,9.61587214452889,0,0,0,12562.8,1500,7.313886831633462,0,0,51,1701,18.35,,2.962692419475791,48,30.0,,,,,,,,,,,,,,0.0,0,0.141,0.167,0.114,929.5,42.3,11.0,1780.8
MEX,Mexico,Mexico,17,60,17,15,28,0.2833333333333333,1.1,62,101,-0.65,10,quarter-finals,4.0,0,1.9220215052560328,34.0,12.0,0.3529411764705882,-0.3611859838274932,0,0,3359.4,37000000,17.426428497635523,0,1,0,3261.0,130000,11.775297421715829,0,0,1,0.0,0,0.0,1,0,20,1985,121.6,8.11,4.808927023502111,34,15.0,10.0,"CopaAmerica2024, WC2018, WC2022",1.258,1.372,-0.114,16.1,4.6,55.677,0.209,0.078,0.287,0.377,2001.0,15.4,4,0.041,0.041,0.041,116.5,73.1,19.0,1947.4
MAR,Morocco,Morocco,6,23,5,7,11,0.217391304347826,0.9565217391304348,20,27,-0.3043478260869565,5,semi-finals,4.0,0,1.4275178399462611,18.0,9.0,0.5,-0.123076923076923,0,0,5837.8,100000,11.51293546492023,0,0,0,6173.5,90000,11.407576060361786,0,0,0,9016.8,2000,7.601402334583733,0,0,24,1923,487.2,18.74,6.19072515795886,13,26.0,14.0,"AFCON2023, WC2018, WC2022",1.438,1.159,0.28,11.643,3.571,45.855,0.112,0.142,0.254,0.555,1303.5,38.5,10,0.204,0.217,0.179,336.0,80.8,21.0,1969.2
